"Nom de l'offre d'activité touristique","Type détaillé d'activité","Adresse partie 1: Porte/escalier","Adresse partie 1 suite","Adresse partie 2","Adresse partie 3","Code postal","Commune de l'activité","Cedex de l'adresse postale","Code Insee de la Commune","location","Latitude","Longitude","Situation de l'offre","Emplacement géographique","N° de téléphone mobile","N° de téléphone fixe","N° de fax","Adresse e-Mail","Url du site web","Type de plateforme/url","Services proposés sur l'équipement de loisir","Equipements présents sur le site de loisir","Animal accepté: oui / non","Complément information animal accepté","Labels","Label tourisme handicap","Groupe accepté: oui / non","Catégorie de la prestation fournie","Type formule itinérante","Activité sportive proposée","Type activité culturelle proposée","Langues parlées à l'accueil","Langues des audio guides","Visites libres proposées aux individuels en permanence: oui / non","Durée de visite pour les individuels","Visites guidées proposées aux individuels en permanence: oui / non","Visites guidées proposées aux individuels sur demande: oui / non","Langues des panneaux d'info","Langues parlées","Complément d'info sur les visites","Visites guidées proposées aux groupes en permanence: oui / non","Visites pédagogiques proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes sur demande: oui / non","Durée de visite pour les groupes","Lieux de pratique de l'activité de loisirs","Commune de départ de la formule itinérante","Commune d'arrivée de la formule itinérante","Ouverture de l'offre toute l'année: oui / non","Horaires d'ouvertures","ResaDirecte","Centrale de réservation en ligne: oui / non","Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale","Tarifs","Tarif gratuit : oui / non","Modes de paiement acceptés"
"AIRE DE PIQUE-NIQUE DE JOUSSEMET","Aire de pique-nique","","","Avenue du Docteur Joussemet","Les Conches","85560","LONGEVILLE-SUR-MER","","85127","[ 46.3883155 , -1.4823665]","46.3883155","-1.4823665","Bord de mer||||0,5","","","02 51 33 30 33","","accueil@longevillesurmer.fr","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE DE HAUTE-BRIN","Aire de pique-nique##Jeux pour enfants","","","","Haute-Brin - LE FIEF-SAUVIN","49600","MONTREVAULT-SUR-EVRE","","49218","[ 47.2173284 , -1.0322269]","47.2173284","-1.0322269","","","","","","","","","Espace jeux","Aire de pique nique##Toilettes","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui",""
"AIRE DE PIQUE-NIQUE DE GAZEAU","Aire de pique-nique","","","","Vallée de la Sèvre à Evrunes","85290","MORTAGNE-SUR-SEVRE","","85151","[ 46.9958648 , -0.9786253]","46.9958648","-0.9786253","","","","","","","","","Espace jeux","Aire de pique nique##Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIBLIOTHÈQUE","Bibliothèque-Médiathèque","","","29 bis rue Gilbert Cesbron","","85690","NOTRE-DAME-DE-MONTS","","85164","[ 46.83239 , -2.13434]","46.83239","-2.13434","","","","02 28 11 26 43","02 28 11 27 36","jardin.vent@notre-dame-de-monts.fr","http://www.jardinduvent.fr","","Espace jeux","Toilettes","non","","Famille Plus","","oui","","","","","","","","","","","","","","","","","","","","","","","01/10/2015||25/03/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##26/03/2016||31/05/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/06/2016||31/08/2016||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||||||14:00||19:00||||||14:00||19:00##01/09/2016||30/09/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/10/2016||18/10/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##19/10/2016||02/11/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##03/11/2016||31/12/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"BATEAU CORNELIA - VIEUX GRÉEMENT DE 1908 -","Activités sportives","","","Quai Saint Georges","","44390","NORT-SUR-ERDRE","","44110","[ 47.438289 , -1.494658]","47.438289","-1.494658","Gare SNCF||gare de Nort sur Erdre||0,5##Aéroport/aérodrome||Nantes||30##Halte fluviale||Nort sur Erdre||0,1","En extérieur soleil##A l'abri","07 81 30 25 15","","","d.v.cornelia@gmail.com","http://tjalk.dv.cornelia.over-blog.com/","Google+||http://tjalk.dv.cornelia.over-blog.com/##Facebook||https://www.facebook.com/dvcornelia","","","non","Le capitaine, parfois, fait des exceptions: posez la question!","","","oui","Accompagnement","","Sports à voile","","Allemand##Anglais##Français","","","","","","","","","","","","","","L'association propose différentes activités:;Sorties découverte vieux gréement,;Balade sur le canal de Nantes à Brest,;Soirées concerts, conférence, cinéma sur voile.;;Ces activités ont principalement lieu au départ de Nort,;-sur l'Erdre ;-sur le canal de Nantes à Brest;;bienvenue à bord!;;","NORT-SUR-ERDRE","","oui","","Association De Vrouwe Cornelia||||d.v.cornelia@gmail.com","","","Tarif indiv. adulte||15||35||Les tarifs varient en fonction de la balade ( Journée, hébergement, repas, animation ....). Nous consulter.##Tarif groupe adulte||250||400||Le bateau est équipé pour recevoir 12 personnes à bord en fluvial, équipage compris.","","Chèques bancaires et postaux##Chèques Vacances"
"AIRE DE PIQUE-NIQUE DE COULAINES","Aire de pique-nique##Boulodrome","","","","Coulaines - LA CHAPELLE-SAINT-FLORENT ","49410","MAUGES-SUR-LOIRE","","49244","[ 47.3337002 , -1.0370305]","47.3337002","-1.0370305","","","","","","","","","","Aire de pique nique##Toilettes","oui","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui",""
"AIRE DE PIQUE-NIQUE DE CORON","","","","","","49690","CORON","","49109","[ 47.13363 , -0.64851]","47.13363","-0.64851","","","","","","","","","","","oui","","","","","","","","","Français","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE DE BOURGNEUF EN MAUGES","Aire de pique-nique##Jeux pour enfants##Terrain omnisports","","","Place de l'église","BOURGNEUF-EN-MAUGES","49290","MAUGES-SUR-LOIRE","","49244","[ 47.3104837 , -0.8331866]","47.3104837","-0.8331866","","","","","","","","","Espace jeux","Aire de pique nique##Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui",""
"LOCATION DE BARQUES PEDALOS CANOE KAYAK","Activités sportives","","Place des Tilleuls","","","72800","LUCHE-PRINGE","","72175","[ 47.703603 , 0.075125]","47.703603","0.075125","Route (nationale/départ.)||D13||0##Autoroute||A11 Le Mans||38##Aéroport/aérodrome||Le Mans||38##Gare SNCF||Le Mans||38##Gare routière||Le Mans||38","","","02.43.45.45.30","","mairie-de-luche-pringe@wanadoo.fr","www.ville-luche-pringe.fr","","","","oui","Si tenus en laisse","","","oui","Location de matériel","","","","Français","","","","","","","","","","","","","","sur la base de loisirs, vous pourrez naviguer sur le Loir en barque, pédalos canoë Kayak;","LUCHE-PRINGE","LUCHE-PRINGE","","","","","","||||||barque : l'heure : 4 € ;pédalo 2 personnes : 4 € la 1/2 H;pédalo 4 personnes : 6 € LA 1/2 h;canoë : 6 € de l'heure 15 € la 1/2  journée et 25 € la journée;kayak : 4 € de l'heure et 10 € la 1/2 journée et 15 € la journée","","Chèques bancaires et postaux"
"AIRE DE PIQUE-NIQUE CONCHES/MARAIS","Aire de pique-nique","","","Rue d'Angles","","85560","LONGEVILLE-SUR-MER","","85127","[ 46.3863655 , -1.4649667]","46.3863655","-1.4649667","Bord de mer||||2","","","02 51 33 30 33","","accueil@longevillesurmer.fr","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATEAU-PROMENADE ""PAYS DE MAYENNE""","Bateaux promenade","","Halte Fluviale","Quai de Waiblingen","","53100","MAYENNE","","53147","[ 48.3041601 , -0.6151262]","48.3041601","-0.6151262","Gare routière||||0,8##Gare SNCF||Laval||30##Autoroute||Autoroute A81, sortie n°3 Louverné||24","","","02 43 04 19 37","","info@valleedehautemayenne.fr","http://hautemayenne-tourisme.com","Facebook||https://www.facebook.com/officedetourismeduPaysdeMayenne##Tripadvisor||http://www.tripadvisor.fr/Attraction_Review-g661268-d3704332-Reviews-Bateau_Promenade_Pays_de_Mayenne-Mayenne_Mayenne_Pays_de_la_Loire.html","","Toilettes","non","sauf chiens guides","","","oui","","","","","Anglais##Français","","","","","","","Français","","","","","","","","","","non","","Office de tourisme Vallée de haute Mayenne||02 43 04 19 37||info@valleedehautemayenne.fr","","","Tarif indiv. adulte||||||Croisières avec repas##Tarif indiv. enfant||||||Croisières avec repas##Tarif indiv. adulte||||||Croisières-promenades##Tarif indiv. enfant||||||Croisières-promenades","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"BATEAU À PASSAGERS ""LA GOGANE""","Bateaux promenade","","","Quai de la Sarthe","","49330","CHATEAUNEUF-SUR-SARTHE","","49080","[ 47.6793703 , -0.4863189]","47.6793703","-0.4863189","","","06 51 44 92 10","","","contact@anjoutroisrivieres.fr","http://www.anjoutroisrivieres.fr","Facebook||https://www.facebook.com/pages/Maison-de-la-rivi%C3%A8re/111952462161110?fref=ts","","Aire de pique nique","oui","","","","oui","","","","","Anglais##Espagnol##Français","","non","1h30","oui","oui","Français","Français","","non","oui","oui","oui","","","","","oui","01/01/2018||31/12/2018||||Programme de croisières pour les individuels pendant l'été, toute l'année pour les groupes selon le niveau de la rivière||||||||||||||||||||||||||||||||||||||||||||||||||||||||","CHASLERIE Guillaume||06 51 44 92 10||contact@anjoutroisrivieres.fr","","","Tarif indiv. adulte||2||10||##Tarif groupe adulte||8||||##||6||||Tarif scolaire, par enfant##||200||700||Tarif pour une privatisation : 200€ pour 2h, 400€ la 1/2 journée, 700€ la journée.","non","Chèques bancaires et postaux##Chèques Vacances"
"AIRE DE PIQUE-NIQUE COLONIE INDRE ET LOIRE","Aire de pique-nique","","","Rue des Bourbes","","85560","LONGEVILLE-SUR-MER","","85127","[ 46.4043341 , -1.4887072]","46.4043341","-1.4887072","Bord de mer||||2","","","02 51 33 30 33","","accueil@longevillesurmer.fr","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANJOU GOLF À CHAMPIGNÉ","Activités sportives","Rue Normandie Niémen","","Route de Cheffes","","49330","LES HAUTS D'ANJOU","","49065","[ 47.6419135 , -0.5540178]","47.6419135","-0.5540178","","","","02 41 42 01 01","","contact@anjou-golf.com","http://anjou-golf.com/","Facebook||https://www.facebook.com/AnjouGolf/","","","","","","","","Pratique libre","","Golf","","","","","","","","","","","","","","","","Anjou Golf à Champigné","CHAMPIGNE","CHAMPIGNE","oui","01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","||02 41 42 01 01||contact@anjou-golf.com","","","Tarif indiv. adulte||36||45||Tarifs du parcours 18 trous##Tarif indiv. adulte||26||32||Tarifs du parcours 9 trous##Tarif indiv. adulte||15||15||Tarif du compact 6 trous","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"AIRE DE PIQUE-NIQUE CAMPING-CAR DU ROCHER","Aire de pique-nique","","","Avenue du Docteur Mathevet","Le Rocher","85560","LONGEVILLE-SUR-MER","","85127","[ 46.4053798 , -1.5015799]","46.4053798","-1.5015799","Bord de mer||||0,7","","","02 51 33 30 33","","accueil@longevillesurmer.fr","","","","Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE BOIS DU BOUQUET","Aire de pique-nique","","","","Huche Grolle","85540","MOUTIERS-LES-MAUXFAITS","","85156","[ 46.4869533 , -1.4260678]","46.4869533","-1.4260678","","","","02 51 98 90 33","","mairie-moutiers.les.mauxfaits@wanadoo.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE BOIRE DE LA RÔME","Aire de pique-nique","","","Rue de la Courtille","Boire de la Rôme","49123","CHAMPTOCE-SUR-LOIRE","","49068","[ 47.4095459 , -0.8685146]","47.4095459","-0.8685146","","","","","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE BEAUREGRET","Aire de pique-nique","","","","Beauregret - DRAIN","49270","OREE D'ANJOU","","49069","[ 47.3445007 , -1.2059815]","47.3445007","-1.2059815","","","","02 40 83 57 49","","champtoceaux@uneautreloire.fr","http://www.champtoceaux.fr","","Espace jeux","Aire de pique nique##Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE AUX ABORDS DU MOULIN DE L'ÉPINAY","Aire de pique-nique##Boulodrome##Jeux pour enfants","","","Rue de l'Evre","LA CHAPELLE-SAINT-FLORENT","49620","MAUGES-SUR-LOIRE","","49244","[ 47.3336835 , -1.0500341]","47.3336835","-1.0500341","","","","","","","","","Espace jeux","Aire de pique nique","oui","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui",""
"AIRE DE PIQUE-NIQUE AU PLAN D'EAU DE DENÉE","Aire de pique-nique","","","Route de Saint Jean de la Croix","","49190","DENEE","","49120","[ 47.3817703 , -0.6077749]","47.3817703","-0.6077749","","","","02 41 78 72 18","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE AU LOGIS DE LA CHABOTTERIE ","Aire de pique-nique","","","","La Chabotterie","85260","MONTREVERD","","85197","[ 46.8792308 , -1.4074163]","46.8792308","-1.4074163","","","","","","","","","","Aire de pique nique##Toilettes","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE CAVEAU DE DÉGUSTATION","Aire de pique-nique","","","Route de Rochefort","","49290","CHALONNES-SUR-LOIRE","","49063","[ 47.3506123 , -0.756199]","47.3506123","-0.756199","","","","","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE AU BORD DU LAYON","Aire de pique-nique","","","","Près du camping","49290","CHAUDEFONDS-SUR-LAYON","","49082","[ 47.326279 , -0.7057139]","47.326279","-0.7057139","","","","02 41 78 04 10","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE AU BORD DU LAYON - SAINT AUBIN DE LUIGNÉ","Aire de pique-nique","","","","Rue Jean de Pontoise","49190","VAL-DU-LAYON","","49292","[ 47.328345 , -0.6756689]","47.328345","-0.6756689","","","","02 41 78 33 28","","","","","Espace jeux","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - ÉGLISE","Aire de pique-nique","","","Rue du 8 Mai","","85580","SAINT-DENIS-DU-PAYRE","","85207","[ 46.4067858 , -1.2670891]","46.4067858","-1.2670891","","","","02 51 27 20 28","","mairie.stdenisp@orange.fr","","Google+||https://plus.google.com/105583753019001884800/about?hl=fr","","Aire de pique nique","oui","","","","oui","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"BATEAUX ÉLECTRIQUES - CAPITAINERIE","Activités sportives","","Capitainerie ","Place du Bassin","","44390","NORT-SUR-ERDRE","","44110","[ 47.4380324 , -1.4957048]","47.4380324","-1.4957048","Gare SNCF||Nort sur Erdre||0,8##Halte fluviale||Port Nort sur Erdre||0","En extérieur ombragé##En extérieur soleil","06 86 38 60 99","","","capitainerie-nortsurerdre@orange.fr","http://www.nort-sur-erdre.fr/jsp/site/Portal.jsp?page_id=164","","","","","","","","","Location de matériel","","Motonautisme (bateau à moteur)","","Français","","","","","","","","","","","","","","L'Erdre au départ de Nort-sur-Erdre","NORT-SUR-ERDRE","NORT-SUR-ERDRE","non","01/05/2018||30/09/2018||contacter la capitainerie||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","Capitainerie||06 86 38 60 99||","","","Tarif indiv. adulte||21||57||Le bateau de 5 places (1h, 2h ou 1/2 journée)##Tarif indiv. adulte||26||71||Le bateau de 7 places (1h, 2h ou la 1/2 journée)##Tarif indiv. adulte||14,7||39,9||lundi au vendredi hors vacances scolaires, 30% déduit sur le bateau 5 places##Tarif indiv. adulte||18,2||49,7||lundi au vendredi hors vacances scolaires, le bateau de 7 personnes","","Chèques bancaires et postaux##Chèques Vacances"
"AIRE DE PIQUE-NIQUE - WAKE PARK","Aire de pique-nique","","","Avenue Amiral Courbet","","85460","L'AIGUILLON-SUR-MER","","85001","[ 46.3319087 , -1.3062707]","46.3319087","-1.3062707","","","","02 51 56 40 31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - VOIE COMMUNALE 3","Aire de pique-nique","","","Etang de la Sablière","","49122","LE MAY-SUR-EVRE","","49193","[ 47.12354 , -0.8821]","47.12354","-0.8821","","","","02 41 63 80 20","","","","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2014||31/12/2014||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"AIRE DE PIQUE-NIQUE - TIGNÉ","Aire de pique-nique","","","Espace Suzanne Brucy (derrière l'église)","TIGNE","49540","LYS-HAUT-LAYON","","49373","[ 47.2009 , -0.4282]","47.2009","-0.4282","","","","02 41 59 41 47","","tigne@lyshautlayon.fr","http://https://www.lyshautlayon.fr/","","","","oui","","","","","","","","","Français","","","","","","","","","","","","","","","","","","","","","","","",""
"AIRE DE PIQUE-NIQUE - TANCOIGNÉ","Aire de pique-nique","","","Derrière l'Eglise","TANCOIGNE","49310","LYS-HAUT-LAYON","","49373","[ 47.17554 , -0.40929]","47.17554","-0.40929","","","","02 41 59 43 50","","tancoigne@lyshautlayon.fr","http://https://www.lyshautlayon.fr/","","","","oui","","","","","","","","","Français","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE NAUTIQUE LOIRE ET LOUET PASSION","Base ou club nautique","","","Quai des Mariniers","MONTJEAN-SUR-LOIRE","49570","MAUGES-SUR-LOIRE","","49244","[ 47.3922647 , -0.8612855]","47.3922647","-0.8612855","","","06 52 16 38 23","","","loireetlouetpassion@yahoo.fr","http://www.loireetlouetpassion.fr","Facebook||https://www.facebook.com/loireetlouetpassion","","Aire de pique nique","oui","","","","oui","","","","","Allemand##Anglais##Italien","","oui","","","","","Allemand##Anglais##Italien","","oui","","","","","","","","non","01/02/2017||31/10/2017||||||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00##01/03/2018||31/10/2018||||||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00","","","","Tarif indiv. adulte||12||65||","non","Chèques bancaires et postaux"
"AIRE DE PIQUE-NIQUE - STADE","Aire de pique-nique","","Stade du Pontet","","","85320","BESSAY","","85023","[ 46.537776 , -1.153323]","46.537776","-1.153323","","","","02 51 27 53 82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - ÉTANG DU SABLEAU","Aire de pique-nique","","","","Le Sableau","85450","CHAILLE-LES-MARAIS","","85042","[ 46.3677562 , -0.9852713]","46.3677562","-0.9852713","Bord de mer||||33##||||28##||||70","En extérieur ombragé","","02 51 56 72 98","","","","","","Aire de pique nique##Toilettes","oui","","","","non","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"BATEAU-PROMENADE L'HIRONDELLE","Bateaux promenade","","","Le Moulin","Chenillé-Changé","49220","CHENILLE-CHAMPTEUSSE","","49067","[ 47.7015606 , -0.6672686]","47.7015606","-0.6672686","","","","02 41 95 14 23","","reservation@bateau-hirondelle.com","http://www.bateau-hirondelle.com","Facebook||https://www.facebook.com/Bateau.Hirondelle##Tripadvisor||","Boutique","Bar##Restaurant##Toilettes","oui","Uniquement sur les mini-croisières.","","","oui","","","","","Anglais##Français","","","1h30","oui","oui","","Français","Démonstration de halage au départ et retour de Grez-Neuville et de Chenillé-Changé.","","oui","","oui","1h30","","","","non","16/04/2017||29/10/2017||Pour les individuels, en fonction du programme des croisières. Pour les groupes, toute l'année sur réservation.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","BATEAU-PROMENADE L'HIRONDELLE||02 41 95 14 23||reservation@bateau-hirondelle.com","","","Tarif indiv. adulte||||||Croisière commentée.##Tarif indiv. enfant||||||Croisière commentée : tarif enfant de 13 à 18 ans.##Tarif indiv. enfant||||||Croisière commentée : tarif enfant de 4 à 12 ans.","non","Chèques bancaires et postaux##Chèques Vacances"
"AIRE DE PIQUE-NIQUE DE BOITOUZE","Aire de pique-nique","","","RD  100 route de campbon","","44260","PRINQUIAU","","44137","[ 47.3818998 , -2.0011534]","47.3818998","-2.0011534","Route (nationale/départ.)||RD 100 direction Campbon||","","","02 28 00 28 47","","c.tarde@estuaire-sillon.fr","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - SQUARE PROSPER RENARD MOREILLES","Aire de pique-nique","","Square Prosper Renard","","","85450","MOREILLES","","85149","[ 46.4205993 , -1.0837745]","46.4205993","-1.0837745","","","","","","","","","","Aire de pique nique##Toilettes","","","","","","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - SQUARE DES MARÉCHALES","Aire de pique-nique","","","Square des Maréchales","","85450","CHAMPAGNE-LES-MARAIS","","85049","[ 46.3814163 , -1.1182081]","46.3814163","-1.1182081","Bord de mer||||22##||||38##||||82","En extérieur ombragé","","02 51 56 61 10","","","","","Espace jeux","Aire de pique nique","oui","","","","non","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"BASE NAUTIQUE ''LES PELICANS DU LOIR''","Aire d'arrêt Vélo##Aire de pique-nique##Base de loisirs##Base de paddle##Base ou club nautique##Bateaux promenade##Jeux pour enfants","","","Rue des ponts","","72500","VAAS","","72364","[ 47.6671803 , 0.316743]","47.6671803","0.316743","Route (nationale/départ.)||||0,5##Autoroute||||4##Aéroport/aérodrome||La Flèche||30","","","06 70 80 93 42","","","","Facebook||http://fr-fr.facebook.com/pages/Les-P%C3%A9licans-du-loir/446148975528543","","Aire de pique nique","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","non","01/07/2018||26/08/2018||Sur réservation préalable||||||||||||||||||||||||||||||||||||||||||||||||14:00||18:00||||||14:00||18:00","","","","Tarif indiv. adulte||||||la 1/2 heure selon la prestation. Tarifs possibles à la journée.","non","Chèques bancaires et postaux"
"AIRE DE PIQUE-NIQUE - STADE","Aire de pique-nique","","Stade","","","85320","CORPE","","85073","[ 46.504243 , -1.172215]","46.504243","-1.172215","","","","02 51 56 97 63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - RUE POUSSEPENILLE PROLONGÉE","Aire de pique-nique","","","Rue Poussepenille Prolongée","","85580","TRIAIZE","","85297","[ 46.391942 , -1.201074]","46.391942","-1.201074","","","","02 51 56 11 53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - STADE","Aire de pique-nique","","","Rue du 8 mai 1945","","85450","CHAILLE-LES-MARAIS","","85042","[ 46.3928028 , -1.0212129]","46.3928028","-1.0212129","Bord de mer||||33##||||28##||||70","En extérieur ombragé","","02 51 56 72 98","","","","","","Aire de pique nique##Toilettes","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - RUE DU MILOUIN","Aire de pique-nique","","","","","85360","LA TRANCHE-SUR-MER","","85294","[ 46.3411841 , -1.4474894]","46.3411841","-1.4474894","","En extérieur ombragé##En extérieur soleil","","","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - RUE DES MOULINS","Aire de pique-nique","","","Rue des Moulins","","85320","BESSAY","","85023","[ 46.5352087 , -1.1537927]","46.5352087","-1.1537927","Bord de mer||||33##||||45##||||54","En extérieur ombragé","","02 51 27 53 82","","","","","Espace jeux","Aire de pique nique","oui","","","","non","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - ROUTE DES PONTS","Aire de pique-nique","","","Route des Ponts","","85320","MOUTIERS-SUR-LE-LAY","","85157","[ 46.5549935 , -1.1589768]","46.5549935","-1.1589768","","","","02 51 27 50 70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - ROUTE DE LA SÉGUINIÈRE","Aire de pique-nique","","","La Grotte de Lourdes","","49280","SAINT-CHRISTOPHE-DU-BOIS","","49269","[ 47.03545 , -0.93987]","47.03545","-0.93987","","","","02 41 56 92 51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2014||31/12/2014||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"AIRE DE PIQUE-NIQUE - ROUTE DE LA POINTE D'ARCAY","Aire de pique-nique","","","152 route de la Pointe d'Arçay","","85460","LA FAUTE-SUR-MER","","85307","[ 46.319952 , -1.3113795]","46.319952","-1.3113795","","","","02 51 97 19 20","","mairie@lafautesurmer.fr","http://www.lafautesurmer.fr/","","","Aire de pique nique","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - ROUTE DE BÉGROLLES","Aire de pique-nique","","","Etang du Parc des Sports","","49122","LE MAY-SUR-EVRE","","49193","[ 47.13918 , -0.9015]","47.13918","-0.9015","","","","02 41 63 80 20","","","","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2014||31/12/2014||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"AIRE DE PIQUE-NIQUE - PRÉ DE LA GRANDE FONTAINE","Aire de pique-nique","","","","","49340","CHANTELOUP-LES-BOIS","","49070","[ 47.09538 , -0.68272]","47.09538","-0.68272","","","","02 41 64 42 46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2014||31/12/2014||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","",""
"AIRE DE PIQUE-NIQUE - PORT DE NALLIERS","Aire de pique-nique","","","Rue du port","","85370","NALLIERS","","85159","[ 46.4673264 , -1.0272492]","46.4673264","-1.0272492","","","","","","","","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - RUE GENERAL LECLERC","Aire de pique-nique","","","Rue Général Leclerc","","85460","L'AIGUILLON-SUR-MER","","85001","[ 46.3306288 , -1.308775]","46.3306288","-1.308775","Bord de mer||||0##||||58##||||87","En extérieur ombragé","","02 51 56 40 31","","","","","","Aire de pique nique","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"AIRE DE PIQUE-NIQUE - PLAN D'EAU DE PÊCHE","Aire de pique-nique","","","Rue de Bellevue","","85460","L'AIGUILLON-SUR-MER","","85001","[ 46.3396364 , -1.3212204]","46.3396364","-1.3212204","Bord de mer||||0##||||58##||||87","En extérieur soleil","","02 51 56 40 31","","","","","","Aire de pique nique","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
